TimestampUTC,TipoAlarma,EstadoAlarma,ValorActual,UmbralConfigurado
2025-07-09 14:48:52,PITCH_SENTADO,ACTIVANDO,11.7,10.0
2025-07-09 14:49:52,PITCH_SENTADO,ACTIVANDO,12.6,10.0
2025-07-09 14:50:19,PITCH_SENTADO,ACTIVANDO,12.3,10.0
2025-07-09 16:23:06,PITCH_SENTADO,ACTIVANDO,12.3,10.0
2025-07-10 15:48:25,PITCH_SENTADO,ACTIVANDO,12.7,10.0
2025-07-10 15:49:32,PITCH_SENTADO,ACTIVANDO,12.0,10.0
2025-07-10 15:49:36,PITCH_SENTADO,ACTIVANDO,12.4,10.0
2025-07-10 15:49:38,PITCH_SENTADO,ACTIVANDO,12.6,10.0
2025-07-10 15:49:42,PITCH_SENTADO,ACTIVANDO,11.8,10.0
2025-07-10 15:49:44,PITCH_SENTADO,ACTIVANDO,12.4,10.0
2025-07-10 15:50:03,PITCH_SENTADO,ACTIVANDO,12.4,10.0
2025-07-10 15:55:01,PITCH_SENTADO,ACTIVANDO,12.8,10.0
2025-07-10 15:55:53,PITCH_SENTADO,ACTIVANDO,12.4,10.0
2025-06-25 00:01:09,ROLL_ESTRIBOR,ACTIVANDO,21.2,15.0
2025-06-25 00:01:10,ROLL_ESTRIBOR,DESACTIVANDO,0.3,15.0
2025-06-25 00:01:11,ROLL_BABOR,ACTIVANDO,-20.8,-15.0
2025-06-25 00:01:13,ROLL_BABOR,DESACTIVANDO,-0.1,-15.0
2025-06-25 00:01:20,PITCH_SENTADO,ACTIVANDO,10.2,10.0
2025-06-25 00:01:25,PITCH_SENTADO,DESACTIVANDO,9.9,10.0
2025-07-10 17:07:16,PITCH_SENTADO,ACTIVANDO,11.9,10.0
2025-07-10 17:08:14,PITCH_SENTADO,ACTIVANDO,12.5,10.0
2025-07-10 17:46:52,PITCH_SENTADO,ACTIVANDO,12.6,10.0
2025-07-10 18:23:29,PITCH_SENTADO,ACTIVANDO,11.9,10.0
2025-07-10 18:25:24,PITCH_SENTADO,ACTIVANDO,12.1,10.0
2025-06-25 01:36:30,ROLL_ESTRIBOR,ACTIVANDO,23.5,15.0
2025-06-25 01:36:32,ROLL_ESTRIBOR,DESACTIVANDO,1.9,15.0
