TimestampUTC,TipoAlarma,EstadoAlarma,ValorActual,UmbralConfigurado
2025-06-25 02:10:46,PITCH_SENTADO,ACTIVANDO,12.0,10.0
2025-07-19 13:03:02,PITCH_SENTADO,ACTIVANDO,11.5,10.0
2025-06-25 02:16:01,PITCH_SENTADO,DESACTIVANDO,0.3,10.0
2025-07-19 15:00:46,PITCH_SENTADO,ACTIVANDO,12.5,10.0
2025-06-25 04:09:33,PITCH_SENTADO,ACTIVANDO,12.8,10.0
2025-06-25 00:01:20,PITCH_SENTADO,ACTIVANDO,10.2,10.0
2025-06-25 00:01:25,PITCH_SENTADO,DESACTIVANDO,9.9,10.0
2025-06-25 00:01:28,PITCH_SENTADO,ACTIVANDO,10.3,10.0
2025-07-19 18:04:48,PITCH_SENTADO,ACTIVANDO,12.4,10.0
2025-07-19 20:30:27,PITCH_SENTADO,ACTIVANDO,12.7,10.0
2025-06-25 02:53:37,PITCH_SENTADO,DESACTIVANDO,10.0,10.0
2025-06-25 02:53:39,PITCH_SENTADO,ACTIVANDO,10.2,10.0
2025-06-25 02:53:45,PITCH_SENTADO,DESACTIVANDO,10.0,10.0
2025-06-25 02:53:50,PITCH_SENTADO,ACTIVANDO,10.2,10.0
2025-06-25 02:53:53,PITCH_SENTADO,DESACTIVANDO,9.8,10.0
2025-06-25 02:58:11,PITCH_SENTADO,ACTIVANDO,10.1,10.0
2025-06-25 02:58:13,PITCH_SENTADO,DESACTIVANDO,9.9,10.0
2025-07-19 22:43:35,PITCH_SENTADO,ACTIVANDO,12.0,10.0
2025-07-21 15:39:02,PITCH_SENTADO,ACTIVANDO,12.8,10.0
2025-07-21 15:39:33,PITCH_SENTADO,ACTIVANDO,11.9,10.0
2025-07-22 02:29:33,PITCH_SENTADO,ACTIVANDO,12.3,10.0
2025-07-22 11:19:30,PITCH_SENTADO,ACTIVANDO,12.4,10.0
2025-07-22 11:26:25,PITCH_SENTADO,ACTIVANDO,11.9,10.0
2025-06-27 17:55:14,PITCH_SENTADO,ACTIVANDO,11.9,10.0
2025-07-22 13:57:29,PITCH_SENTADO,ACTIVANDO,11.8,10.0
2025-06-27 20:17:56,PITCH_SENTADO,DESACTIVANDO,0.0,10.0
2025-06-27 20:17:57,PITCH_SENTADO,ACTIVANDO,11.9,10.0
2025-06-27 20:23:46,PITCH_SENTADO,DESACTIVANDO,0.0,10.0
2025-06-27 20:23:47,PITCH_SENTADO,ACTIVANDO,11.9,10.0
2025-07-22 14:49:23,PITCH_SENTADO,ACTIVANDO,12.8,10.0
2025-06-27 21:43:02,PITCH_SENTADO,DESACTIVANDO,12.2,15.0
